icon,,ICON JOURNEYS,,,,,,,Loading...,
market,,Market update,,,26/01/2022 20:35:10,2,h,,2022-01-26T20:35:10+03:00,
daily,,DAILY TRAINING,,,26/01/2022 22:00:00,1,d,,2022-01-26T22:00:00+03:00,
,daily,skill training,,,26/01/2022 22:00:00,3,d,,2022-01-26T22:00:00+03:00,
,daily,match training,,,27/01/2022 22:00:00,3,d,,2022-01-27T22:00:00+03:00,
,daily,special training,,,25/01/2022 22:00:00,3,d,,2022-01-25T22:00:00+03:00,
rivals,,division rivals,,,17/01/2022 22:00:00,28,d,,2022-01-17T22:00:00+03:00,
starpass,,starpass,,,05/01/2022 22:00:00,30,d,,2022-01-05T22:00:00+03:00,
challenge,,CHALLENGE MODE,,,26/01/2022 22:00:00,1,d,,2022-01-26T22:00:00+03:00,
league,,LEAGUE TOUR,,,26/01/2022 22:00:00,1,d,,2022-01-26T22:00:00+03:00,
begin,,NEW BEGINNINGS,04/02/2022 22:00:00,4,26/01/2022 22:00:00,1,d,Don't forget to take targets,2022-01-26T22:00:00+03:00,2022-02-04T22:00:00+03:00
